,date,bike_place,bike
396,2019-02-01,49,680
397,2019-02-02,49,680
398,2019-02-03,49,680
399,2019-02-04,49,680
400,2019-02-05,49,680
401,2019-02-06,49,680
402,2019-02-07,49,680
403,2019-02-08,49,680
404,2019-02-09,49,680
405,2019-02-10,49,680
406,2019-02-11,49,680
407,2019-02-12,49,680
408,2019-02-13,49,680
409,2019-02-14,49,680
410,2019-02-15,49,680
411,2019-02-16,49,680
412,2019-02-17,49,680
413,2019-02-18,49,680
414,2019-02-19,49,680
415,2019-02-20,49,680
416,2019-02-21,49,680
417,2019-02-22,49,680
418,2019-02-23,49,680
419,2019-02-24,49,680
420,2019-02-25,49,680
421,2019-02-26,49,680
422,2019-02-27,49,680
423,2019-02-28,49,680
424,2019-03-01,49,680
425,2019-03-02,49,680
426,2019-03-03,49,680
427,2019-03-04,49,680
428,2019-03-05,49,680
429,2019-03-06,49,680
430,2019-03-07,49,680
431,2019-03-08,49,680
432,2019-03-09,49,680
433,2019-03-10,49,680
434,2019-03-11,49,680
435,2019-03-12,49,680
436,2019-03-13,49,680
437,2019-03-14,49,680
438,2019-03-15,49,680
439,2019-03-16,49,680
440,2019-03-17,49,680
441,2019-03-18,49,680
442,2019-03-19,49,680
443,2019-03-20,49,680
444,2019-03-21,49,680
445,2019-03-22,49,680
446,2019-03-23,49,680
447,2019-03-24,49,680
448,2019-03-25,49,680
449,2019-03-26,49,680
450,2019-03-27,49,680
451,2019-03-28,49,680
452,2019-03-29,49,680
453,2019-03-30,49,680
454,2019-03-31,49,680
455,2019-04-01,49,680
456,2019-04-02,49,680
457,2019-04-03,49,680
458,2019-04-04,49,680
459,2019-04-05,49,680
460,2019-04-06,49,680
461,2019-04-07,49,680
462,2019-04-08,49,680
463,2019-04-09,49,680
464,2019-04-10,49,680
465,2019-04-11,49,680
466,2019-04-12,49,680
467,2019-04-13,49,680
468,2019-04-14,49,680
469,2019-04-15,49,680
470,2019-04-16,49,680
471,2019-04-17,49,680
472,2019-04-18,49,680
473,2019-04-19,49,680
474,2019-04-20,49,680
475,2019-04-21,49,680
476,2019-04-22,49,680
477,2019-04-23,49,680
478,2019-04-24,49,680
479,2019-04-25,49,680
480,2019-04-26,49,680
481,2019-04-27,49,680
482,2019-04-28,49,680
483,2019-04-29,49,680
484,2019-04-30,49,680
485,2019-05-01,49,680
486,2019-05-02,49,680
487,2019-05-03,49,680
488,2019-05-04,49,680
489,2019-05-05,49,680
490,2019-05-06,49,680
491,2019-05-07,49,680
492,2019-05-08,49,680
493,2019-05-09,49,680
494,2019-05-10,49,680
495,2019-05-11,49,680
496,2019-05-12,49,680
497,2019-05-13,49,680
498,2019-05-14,49,680
499,2019-05-15,49,680
500,2019-05-16,49,680
501,2019-05-17,49,680
502,2019-05-18,49,680
503,2019-05-19,49,680
504,2019-05-20,49,680
505,2019-05-21,49,680
506,2019-05-22,49,680
507,2019-05-23,49,680
508,2019-05-24,49,680
509,2019-05-25,49,680
510,2019-05-26,49,680
511,2019-05-27,49,680
512,2019-05-28,49,680
513,2019-05-29,49,680
514,2019-05-30,49,680
515,2019-05-31,49,680
516,2019-06-01,49,680
517,2019-06-02,49,680
518,2019-06-03,49,680
519,2019-06-04,49,680
520,2019-06-05,49,680
521,2019-06-06,49,680
522,2019-06-07,49,680
523,2019-06-08,49,680
524,2019-06-09,49,680
525,2019-06-10,49,680
526,2019-06-11,49,680
527,2019-06-12,49,680
528,2019-06-13,49,680
529,2019-06-14,49,680
530,2019-06-15,49,680
531,2019-06-16,49,680
532,2019-06-17,49,680
533,2019-06-18,49,680
534,2019-06-19,49,680
535,2019-06-20,49,680
536,2019-06-21,49,680
537,2019-06-22,49,680
538,2019-06-23,49,680
539,2019-06-24,49,680
540,2019-06-25,49,680
541,2019-06-26,49,680
542,2019-06-27,49,680
543,2019-06-28,49,680
544,2019-06-29,49,680
545,2019-06-30,49,680
546,2019-07-01,49,680
547,2019-07-02,49,680
548,2019-07-03,49,680
549,2019-07-04,49,680
550,2019-07-05,49,680
551,2019-07-06,49,680
552,2019-07-07,49,680
553,2019-07-08,49,680
554,2019-07-09,49,680
555,2019-07-10,49,680
556,2019-07-11,49,680
557,2019-07-12,49,680
558,2019-07-13,49,680
559,2019-07-14,49,680
560,2019-07-15,49,680
561,2019-07-16,49,680
562,2019-07-17,49,680
563,2019-07-18,49,680
564,2019-07-19,49,680
565,2019-07-20,49,680
566,2019-07-21,49,680
567,2019-07-22,49,680
568,2019-07-23,49,680
569,2019-07-24,49,680
570,2019-07-25,49,680
571,2019-07-26,49,680
572,2019-07-27,49,680
573,2019-07-28,49,680
574,2019-07-29,49,680
575,2019-07-30,49,680
576,2019-07-31,49,680
577,2019-08-01,49,680
578,2019-08-02,49,680
579,2019-08-03,49,680
580,2019-08-04,49,680
581,2019-08-05,49,680
582,2019-08-06,49,680
583,2019-08-07,49,680
584,2019-08-08,49,680
585,2019-08-09,49,680
586,2019-08-10,49,680
587,2019-08-11,49,680
588,2019-08-12,49,680
589,2019-08-13,49,680
590,2019-08-14,49,680
591,2019-08-15,49,680
592,2019-08-16,49,680
593,2019-08-17,49,680
594,2019-08-18,49,680
595,2019-08-19,49,680
596,2019-08-20,49,680
597,2019-08-21,49,680
598,2019-08-22,49,680
599,2019-08-23,49,680
600,2019-08-24,49,680
601,2019-08-25,49,680
602,2019-08-26,49,680
603,2019-08-27,49,680
604,2019-08-28,49,680
605,2019-08-29,49,680
606,2019-08-30,49,680
607,2019-08-31,49,680
608,2019-09-01,49,680
609,2019-09-02,49,680
610,2019-09-03,49,680
611,2019-09-04,49,680
612,2019-09-05,49,680
613,2019-09-06,49,680
614,2019-09-07,49,680
615,2019-09-08,49,680
616,2019-09-09,49,680
617,2019-09-10,49,680
